工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模
社会学人类学实习生,面议,3个月,"工作职责：本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时尚广州""矩阵的新媒体工作。时尚传媒旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。1.协助新媒体平台运营工作，维护微信，微博，今日头条等；2.运营集团旗下部分电商平台3.协助运营粉丝群。4.不会被困在电脑前整理资料，有机会跟记者外出采访，接触高端时尚生活方式。岗位要求：1.本科及以上，社会学人类学专业加分，营销、电子商务、广告公关专业优先；2.略有运营推广微信公众号经验，思维活跃，群聊风向标，时尚娱乐资讯嗅觉敏锐，了解年轻女性粉丝心理；3.有礼仪，模特，舞蹈，音乐等艺术团体经历，以及混过饭圈、有明星粉丝群运营经验加分；4.实习满三个月开实习证明，能实习超过半年者优先周一到周五上班。实习时长3-6个月，能实习半年以上优先录用。实习满三个月开实习证明。附：所有面试通知将以“时尚广州”名义的电子邮件形式发送，请注意查收邮件，有时会被运营商分类的广告或垃圾箱，敬请注意。该职位同时接受寒暑假实习和长期实习。请在邮件中附上个人近照及作品你将获得：1.含金量高的实习报告2.跟着记者采访名人明星各种有趣的人物3.出席时尚活动4.体验美食美酒5.不是天天来打杂买水买盒饭收发快递整理拍摄样衣（尽管有时也要帮忙）6.不会天天困在办公室整理资料（尽管有时也要帮忙）工作地址",本科,5人,2024-09-25 13:27,时尚传媒,广州 - 海珠区 - 敦和路,广告|传媒|文化|体育,301~1000人
研究生项目市场营销实习生,100-150元/天,3个月,工作职责：1.协助团队进行市场研究，分析潜在客户人群；2.负责社交媒体推广，包括微信公众号运营，邮件内容、网页信息撰写等；3.支持研究生项目各类活动的策划与实施。岗位要求：1.在校本科生、研究生；2.优先考虑市场营销、新闻传播、英语等专业或对市场推宣工作有浓厚兴趣的同学；3.踏实肯干，中英文沟通能力佳；4.有文案写作（中英文）经验的同学优先考虑；5.全职实习3-6个月，时间更长者优先考虑。你将获得：1.与学者和专家接触学习的机会2.全面的培训和免费讲座3.与杜克大学共享资源的图书馆,本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 江苏省昆山市杜克大道8号,政府/非盈利机构/其他,301~1000人
媒体和艺术实验室实习生,120-150元/天,3个月,"工作职责：工作内容：1.维护相机、灯光、音频等媒体设备2. 使用FileMaker或相关软件进行设备借还的记录与追踪3. 帮助学生挑选与项目适配的媒体设备，并提供操作指导4. 负责设备维护，并根据需要及时安排维修，保证设备库的正常运转5. 及时更新媒体和艺术实验室网站，使学生及时了解政策变动、学生工作和奖励等。6. 完成主管安排的其他任务。岗位要求：岗位要求：1. 在校学生，本科及以上学历2. 对媒体设备和艺术项目有一定了解3. 熟悉Adobe Creative Cloud, Final Cut Pro等媒体软件4. 学习能力强，注重细节5. 良好的英文听说读写能力6. 实习时间三个月及以上工作地点：江苏省昆山市杜克大道8号（提供班车）工作时间：9：00-17：30 （周末双休）薪资：3000/月 全勤 （不扣税）",本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 杜克大道8号,政府/非盈利机构/其他,301~1000人
国际关系实习生,100-150元/天,3个月,工作职责：1.协助国际会议、全球夏校等活动及项目2.协助制定项目预算，起草项目计划书3.协助项目市场营销及入学事宜4.协助国际关系办公室的日常行政事务岗位要求：1.本科或研究生在读2.有活动策划的实习经验者将优先考虑3.流利的中英文口语及书写能力4.具备可靠、勤奋、注重细节、快速学习等素质,本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 江苏省昆山市杜克大道8号,政府/非盈利机构/其他,301~1000人
行政实习生-发展及校友关系办公室,130-140元/天,3个月,工作职责：工作内容：协助组织和策划发展与校友关系办公室举办的大型活动，为到场人员提供良好的参会体验；管理并及时更新CRM系统；协调团队成员的日程和差旅安排；通过财务系统管理各项项目费用支出；协助团队成员接待来访者和校友；支持团队进行发展前景研究；报告和文件的翻译和编辑；领导分配的其他工作。岗位要求：职位要求：本科或研究生在读，或已收到研究生录取通知书；具备优秀组织能力，懂得灵活变通，抗压能力强；具备良好的中英文书面和口语沟通能力；熟练掌握Office办公软件；具备团队合作能力，同时能独立完成工作；实习时间三个月及以上，时间越长者优先考虑；到岗时间可商议。工作地点：江苏省昆山市杜克大道8号（提供班车）工作时间：9：00-17：30 （周末双休）薪资：3000/月 全勤（不扣税）,本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 杜克大道8号,政府/非盈利机构/其他,301~1000人
传播部实习生,120-140元/天,3个月,工作职责：岗位职责：1. 通过多种媒体渠道，对校园传播相关内容展开策划、内容创作；2. 对中文内容（包括但不限于新闻、故事、其他文案等）完成编辑和校对工作； 3. 参与昆山杜克大学新闻简报（DKU Newsletter）的新闻采集跟进工作和排版发布工作；4. 完成分配的其他任务。岗位要求：1. 专业为中文、新闻、传播/国际传播等相关领域；2. 对学术科研和校园新闻传播有兴趣和写作基础。有较佳的中文语感及相关专业素养，对新闻有敏锐嗅觉；3. 具备优秀的采编、策划、撰写能力，能独立或协助完成采访和写作；  4. 能掌握基础的新媒体相关排版软件（如可画、秀米等）；5. 具备一定英文听说读写能力，能进行基本英文文字编校者加分；6. 在校本科生或研究生，能全职实习至少3个月。  工作地点：江苏省昆山市杜克大道8号（提供班车）工作时间：9：00-17：30 （周末双休）薪资：3000/月 全勤 （不扣税）,本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 杜克大道8号,政府/非盈利机构/其他,301~1000人
国际生事务办公室实习生,100-150元/天,3个月,工作职责：1.协助提供行政和后勤服务；2.协助处理春季学期国际生返校事宜，例如文书准备，收集签证信息，填写教育部网上签证申请等；3.组织学生体检、住宿申请、手机卡、银行卡申请等；4.组织协调校园活动，并撰写中英文学生活动新闻稿件；5.协助翻译并校对相关书面和口语文件；6.部门要求的其它任务岗位要求：1.本科以上学历，有教育专业或相似背景者优先考虑；2.中英文口语流利；3.出色的人际交往能力，做事细心；4.可以尽快到岗。,本科,2人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 杜克大道8号昆山杜克大学,政府/非盈利机构/其他,301~1000人
教学中心实习生,130-140元/天,3个月,工作职责：岗位职责：协助教师的教学午餐讨论和其他部门活动（例如教学研讨会、全校性的教学展示活动）；协助部门做好校内外的宣传工作，如网页、微信帖子和新闻简报；研究中国和世界高等教育中创新教学的趋势和竞争格局；协助学生开展有关学习体验的焦点小组和访谈，了解并分析学习者的学习需求；部门内日常行政事务。岗位要求：岗位要求：良好的人际关系和有效的英语书面、口头沟通能力；有较好的项目管理和分析探究能力；对（高等）教育、教学所有了解，且颇有兴趣；具有学习和应用新技能和技术的能力；目前正在攻读学位课程；有学士学位，有硕士学位者优先；能实习三个月及以上。,本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 杜克大道8号,政府/非盈利机构/其他,301~1000人
全球健康研究中心行政实习生,100-150元/天,3个月,工作职责：1.协助规划全球健康理学硕士项目活动；2.参加全球健康公开活动，撰写文章并发布在微信和其他社交媒体平台；3.为全球健康国际研讨会提供后勤支持，包括预订酒店、班车、报销等；4.协助完成主管分配的文件支持工作，如翻译和数据收集；5.协助维护全球健康网站。岗位要求：1.在读全日制本科生或研究生；2.熟练使用Microsoft Outlook、Word、Excel 和 PowerPoint；3.熟悉主流社交媒体平台，包括但不限于微信、知乎、Facebook等；4.自我驱动，适应在快节奏的工作环境；5.有相关实习或工作经验者优先；6.良好的中英文书面及口头沟通能力。,本科,1人,2024-09-23 16:41,DKU,苏州 - 玉山镇 - 杜克大道8号,政府/非盈利机构/其他,301~1000人
影视后期,面议,3个月,工作职责：1.负责抖音或其他短视频的后期剪辑制作，根据脚本将拍摄的素材进行剪辑包装；2.思考并优化运营策略，能够根据创意脚本或文案进行合适的剪辑和编排，满足公司视频内容要求。岗位要求：1.全日制本科学历及以上，在校生；2.一周至少出勤5天；3.能熟练运用PR或Final cut Pro、AE、PS等剪辑、包装、修图软件；4.擅长摄影摄像优先。你将获得：实习报告，宝贵经验，大神带路。,本科,2人,2024-09-05 14:53,szmg,深圳 - 福田区 - 鹏程一路一号广电大厦,广告|传媒|文化|体育,1001~3000人
编导,面议,6个月,工作职责：1. 负责公司短视频节目选题. 策划. 脚本讨论与创作2. 负责把握节目整体风格，保证节目质量，并根据宣传效果调整视频内容3. 负责跟进整个视频制作过程，配合拍摄及后期制作4. 负责相关视频编辑. 上传. 运营推广工作岗位要求：1. 脑洞够大，能文能武，写得了段子，做得了节目2. 对热点事件嗅觉灵敏，能够先发制人，抢占先机3. 耐心. 细致，有一定抗压能力，兼具很强的计划和统筹能力4. 互联网深度患者，各大视频平台都有你的足迹，有过短视频制作经验的优先5. 掌握一定的图片处理软件ps. 能熟练使用单反拍摄，会pr、ae剪辑软件优先考虑你将获得：实习报告，宝贵经验，大神带路。,本科,2人,2024-09-05 14:53,szmg,深圳 - 福田区 - 鹏程一路一号广播电影电视集团,广告|传媒|文化|体育,1001~3000人
小红书媒介实习生,80-100元/天,2个月,工作职责：关于我们：我们是药妆和杂货品牌 lessgo。你要做什么？ 1.负责协助品牌进行产品推广，联系各平台博主，维护与 KOL 博主关系；（包括小红书，微博，抖音，B站等）2.执行品牌需求，将品牌需求有效传达给 KOL ，并及时反馈3.对接博主，按时记录与博主产生合作的内容。岗位要求：1.你可以是大二大三的学生，课业不重以及不参加过多的学校活动。2.不必坐班，需要有电脑，可以远程办公。3.需要长期，一天至少2小时，一周至少 4-5 天，至少能工作2个月。4.及时响应，我们很在意执行效率。5.经常混迹小红书，抖音各大平台。6.最重要的，细心认真有耐心。你将获得：加入我们你将获得： 1.更好地锻炼自己。2.提前了解新媒体（小红书，抖音等）以及内容营销。3.更大的平台，毕业后很好的工作机会。（我们在北京，杭州都有公司）4.一段特别的实习经历。（会给大家提供实习证明）期待大家的加入！,大专,30人,2024-09-24 11:01,lessgo,全国,互联网|游戏|软件,11~50人
小红书媒介实习生,25-50元/天,3个月,工作职责：关于我们：我们是药妆和杂货品牌 lessgo。你要做什么？1.负责协助品牌进行产品推广，联系各平台博主，维护与 KOL 博主关系；（包括小红书，微博，抖音，B站等）2.执行品牌需求，将品牌需求有效传达给 KOL ，并及时反馈；3.对接博主，按时记录与博主产生合作的内容。岗位要求：1.你可以是大二大三的学生，课业不重以及不参加过多的学校活动。2.不必坐班，需要有电脑，可以远程办公。3.需要长期，一天至少2小时，一周至少 4-5 天，至少能工作2个月。4.及时响应，我们很在意执行效率。5.经常混迹小红书，抖音各大平台。6.最重要的，细心认真有耐心。你将获得：加入我们你将获得：1.更好地锻炼自己。2.提前了解新媒体（小红书，抖音等）以及内容营销。3.更大的平台，毕业后很好的工作机会。（我们在北京，杭州都有公司）4.一段特别的实习经历。（会给大家提供实习证明）期待大家的加入！,不限,30人,2024-09-24 11:01,lessgo,全国,互联网|游戏|软件,11~50人
媒介实习生,80-150元/天,长期,工作职责：1、负责组织传播计划的执行，客观总结实施效果并提交媒介发布相关总结报告2、日常媒体维护，开拓媒体关系3、保持与媒体的经常性有效沟通4、媒体传播内容沟通，审核5、媒介策略制定及计划的执行6、品牌活动参与岗位要求：1. 文字功底强，有志于从事公关、营销策划、互动等传播行业的在校生；2. 极强的沟通与人际交往能力；3. 有较强的执行力和团队合作精神；4. 能熟练应用计算机办公软件；5. 有担任校学生会经历者优先；6. 新闻、传播、广告学专业学生优先考虑。,本科,5人,2024-09-23 13:55,趋势中国,北京 - 东城区 - 雍和航星园3号楼5层，趋势中国,广告|传媒|文化|体育,101~300人
策划实习生,80-150元/天,6个月,工作职责：1、负责协助公司业务部门进行项目方案的策划和撰写；2、负责策划案的创意及宣传推广策略的制定和撰写；3、负责与项目宣传相关的软文撰写、组稿、编辑等工作；4、完成上级领导交付的其他工作任务。岗位要求：1、本科以上学历、思维活跃，富有联想能力，有创意思维，善于沟通，具备良好的团队合作意识；2. 扎实的文案功底和出色的策划能力，文笔好脑洞大；3、熟练使用ppt等办公软件。,本科,1人,2024-09-23 13:55,趋势中国,北京 - 东城区 - 雍和航星园3号楼5层 趋势中国,广告|传媒|文化|体育,101~300人
公关实习生,80-150元/天,6个月,工作职责：1、负责客户日常周报、月报等各类总结报告的撰写；2、进行相关的数据分析工作；3、客户相关资料的文件整理工作；4、信息资料的搜索收集；5、完成上级领导交付的其他工作。岗位要求：1、文字功底强，有志于从事公关、营销策划、互动等传播行业的在校生；2、极强的沟通与人际交往能力；3、有较强的执行力和团队合作精神；4、能熟练应用各类计算机办公软件；5、有担任校学生会经历者优先；6、新闻、传播、广告学专业学生优先考虑。,本科,5人,2024-09-23 13:55,趋势中国,北京 - 东城区 - 雍和航星园3号楼5层 趋势中国,广告|传媒|文化|体育,101~300人
电商客服（22元/小时）,176-210元/天,4个月,工作职责：1、 作为电商平台官方客服，通过在线服务形式解答客户在电商平台使用过程中的售中售后问题咨询，根据服务流程，正确解答客户的疑问；2、 通过后台处理工单形式解决客户在平台交易的售后问题，客观、公正、注重细节；3、 对需要回访的会员主动外呼电话进行问题解决；4、 感知会员情绪，通过良好的软技巧（理解能力、沟通能力、表达能力、同理心、抗压能力等）安抚客户，为客户提供优质的服务；5、 能够迅速识别业务风险，拥有专业负责的工作态度，积极处理会员反馈的问题；6、 能对业务知识点更好的理解，融汇贯通，对于不同的业务场景形成知识链。岗位要求：【人员要求】1. 满18周岁-40岁，中专/高中学历以上2. 国语标准流利，会说粤语，有较强的沟通能力，反应敏捷，对电商有基础了解，有较强的逻辑思维能力；3. 打字要求40/分钟或以上；4. 接受轮班制工作；5. 良好的客户服务意识，较好的沟通协调能力与执行能力，良好的学习能力，正直且注重承诺；6. 有香港或台湾客户投诉处理经验优先考虑【工作时间】08：00-23：00，排班天不低于4小时排班出勤工作，当日工作满8小时且排班在22点及以后下班的服务人员，额外给予班次25元/人次，月休八天【薪资待遇】22元/小时，当日工作满8小时且排班在22点及以后下班的服务人员，额外给予班次25元/人次【工作地址】佛山禅城区季华西路绿岛湖行政服务中心B2座6楼公司可提供住宿,高中,50人,2024-09-21 10:35,泰伦理信,佛山 - 禅城区 - 佛山禅城区季华西路绿岛湖行政服务中心B2座6楼,咨询/法律/人力资源,11~50人
新媒体运营实习生（可远程）,50-100元/天,3个月,工作职责：1. 协助团队完成微公号，小红书，微博的日常维护及内容策划。2. 定期发起线上活动，负责活动策划、创意执行以及意见反馈。3. 收集用户建议，分析后台数据，据情况调整推文主题和内容。4. 运营5000+粉丝微信公众号，探索微信公众号用户增长方式。岗位要求：1. 对留学相关主题有一定了解或兴趣，有相关留学经历者优先。2. 热爱或者擅长新媒体运营者优先，有新媒体运营经验者优先。3. 有较强的逻辑和文案功底，做事认真负责并且能够注重细节。4. 每周拥有2-3天完整工作时间，可以申请进行远程在线工作。5. 擅总结，愿意对“阅读量”和“转发率”负责，偶尔能有小创意。你将获得：1. 具有行业竞争力的实习薪资（可日、周结），灵活时间（远程在线）。2. 在基础薪资的基础上，设置合理绩效奖励，如按照阅读量增长奖励。3. 积累新媒体运营实习经验，实习期满三个月，表现优异开具实习证明。4. 运营5000+粉丝微信公众号，探索微信公众号的用户增长和提升途径。5. 丰富的学习和探索机会，与90后海归团队共同成长，表现优异转正。6. 全方位了解出国留学资讯，获得学长学姐留学申请指导，经验分享。,本科,1人,2024-09-24 16:58,小钻教育,杭州 - 西湖区 - 益乐创富大厦,教育培训,11~50人
漫画插画手绘设计师,面议,4个月,工作职责：负责漫画插画以及卡通形象的设计等。岗位要求：熟练掌握sai、ps的使用。每周4天以上。一天3-4小时或以上的空闲时间，远程工作，时间可自己安排。不能全是晚上时间。态度要求:   认真负责，服从安排。温馨提醒:   只招在校实习生。,大专,50人,2024-09-24 15:58,像素先森,全国,政府/非盈利机构/其他,11~50人
游戏主播,5-8K/月,长期,工作职责：岗位职责：1、至企业现场办公，直播休闲游戏；2、和观众有互动，网感好，懂热点；3、有上进心，绿色健康直播；4、性格活泼开朗，能创造良好的直播效果和氛围。岗位要求：岗位要求：1、有游戏直播经验者优先；2、较强的沟通能力、能适应不定时工作制；3、工作认真负责，工作态度积极主动，良好的职业道德；4、热爱直播，对休闲类游戏有较大的兴趣或者游戏经验。,大专,2人,2024-09-24 15:45,成蹊,上海 - 徐汇区 - 漕河泾开发区,互联网|游戏|软件,51~100人
美术实习生,100-150元/天,长期,"工作职责：1、负责新媒体账号短视频的内容选题、脚本编写、素材收集、后期剪辑等制作流程，完成高质量的内容输出。编写归类总结文档，定期复盘数据优化制作。2、结合公司流量目标，搭建&运营各平台短视频矩阵，制定视频内容创意方向、把控脚本及视频成片质量。3、运用AIGC技术生成或优化各类素材，包括不限于视频、文字、图片等。4、与团队协作，沟通制作需求，确保成品符合项目要求。了解最新的AI技术动态并探索新的应用方法，包括但不限于视频风格迁移和图像合成等。5、探索和创新AIGC领域的最新动态，并将其与产品相结合，寻求新的实现方式。岗位要求：1、本科及以上学历，新闻传播学、网络与新媒体、动漫设计、影视制作等相关专业优先。2、具有创新精神，对网络文化有敏锐的感知，热衷于关注当下流行趋势，对新媒体或内容营销感兴趣者优先。3、对AIGC技术有一定程度的了解，包括但不限于诸如stable diffusion、ComfyUI，midjourney,runaway，runway gen2，可灵等流行的AIGC工具。4、能够独立完成短视频的剪辑和设计；熟练操作视频编辑软件，这包括但不限于剪映，Adobe Premiere Pro, FinalCutPro等。5、有优秀的团队协作精神，能够和团队成员进行有效的沟通和协作。",大专,2人,2024-09-24 14:34,成蹊,上海 - 徐汇区 - 姚记科技中心,互联网|游戏|软件,51~100人
成都微著企业管理有限公司,100-150元/天,3个月,工作职责：1.根据客户所在行业，客户需求以及目标职位的分析，拟定一套完善的用人寻访目标公司和候选人寻访方案2.执行寻访计划，筛选和面试候选人，初步甄别候选人与目标职位的匹配度3.沟通候选人的职位意向，职业生涯发展规划4.撰写候选人的人才推荐报告，推荐候选人5.协调客户公司与候选人的面试安排，跟进面试的进展和及时反馈面试过程的问题6.提供候选人背景调查，辅助候选人的离职7.对客户与候选人的后续跟踪与反馈岗位要求：1. 统招本科或硕士学历，性别不限，专业不限2. 适应力强，稳定性好，愿意在中高级人才推荐行业长期发展3. 沟通技巧和客户服务技巧良好4. 具有强烈实现个人成就的意识5. 能积极应对挫折和压力，乐于接受挑战6. 优秀的学习能力，及逻辑辨析能力7. 自我驱动，结果导向8. 良好的团队意识，注重团队合作,本科,5人,2024-09-24 12:19,成都微著,眉山 - 彭山县 - 恒大观澜府,咨询/法律/人力资源,11~50人
平面设计实习生,150-180元/天,3个月,工作职责：1. 根据公司的项目，协助资深设计师/总监完成项目方案创意和方案设计的前期梳理工作；2. 具有较好的理解能力以及整合能力，可根据已经确定的方案完成相关的平面物料延展；3. 了解相应的工艺、材质等执行内容，可执行平面物料的打样等工作，并配合完成项目实际落地；4. 协助完成公司内部文件（Credentials/公众号/网页）等设计以及更新工作，有文案编纂能力者佳。岗位要求：Requires:1. 熟练使用PS、AI等设计软件，掌握AE 者佳，熟练手绘者佳；2. 性格开朗者佳，有充足的求知欲望和好奇心，有不断学习进步的意愿；3. 双语者佳。你将获得：豪车和奢侈品牌的项目经历行业大拿的经验指导,大专,1人,2024-09-11 15:05,尚度咨询,上海 - 徐汇区 - 南宁路970号徐汇万科中心B座,政府/非盈利机构/其他,11~50人
美术设计实习生,面议,3个月,"工作职责：本职位长期招聘，负责运营微信公众号“时尚传媒生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。北京时尚集团旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。协助设计微信版式、海报、H5等平面设计工作，有机会独立署名设计作品。不会被困在电脑前抠图修图，有机会跟记者外出采访，接触著名艺术家设计大师。本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。附：所有面试通知将以“时广新媒”名义的电子邮件形式发送，请注意查收邮件，有时会被运营商分类的广告或垃圾箱，敬请注意。岗位要求：1.学历本科及以上，平面设计，视觉传达类专业优先；2.会摄影，视频剪辑、有微信公众号排版经验加分；3 有礼仪，模特，舞蹈，音乐等艺术团体经历，以及混过饭圈、有明星粉丝群运营经验加分； 4.能具备各种出国出境证照，如护照，港澳通行证，赴台证等。周一到周五上班，只需上半天班（上午或下午）。实习时长3-6个月，能实习半年以上优先录用。实习满三个月开实习证明。请在邮件中附上个人近照及作品你将获得：1.发表作品机会多2.含金量高的实习报告3.直面著名设计师艺术家，开拓视野4.跟着记者采访拍摄名人明星各种有趣的人物5.出席时尚活动6.体验美食美酒7.不是来打杂买水买盒饭收发快递整理拍摄样衣（尽管有时也要帮忙）8.不会困在办公室天天抠图",本科,5人,2024-09-24 09:57,时尚传媒,全国,广告|传媒|文化|体育,301~1000人
行政管理实习生,面议,3个月,"工作职责：本职位长期招聘，负责运营微信公众号“时尚集团生活馆”，“时尚YES”和""时尚广州""矩阵的新媒体工作。北京时尚集团旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。1、在各大招聘网站编辑发布招聘信息2、按照部门的招聘要求，进行简历筛选及候选人员的约见3、整理面试资料，维护人事档案、员工花名册等4、协助其他人力资源模块工作附：所有面试通知将以“时尚广州”名义的电子邮件形式发送，请注意查收邮件，有时会被运营商分类的广告或垃圾箱，敬请注意。本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。岗位要求：1.大学统招本科及以上学历，英语、人力资源、心理学或公共管理、企业管理相关专业大三，大四，研一，研二学生；2.良好的office办公软件操作能力，熟悉word、excel、ppt等；3.具备团队合作意识，良好的沟通协调能力，及在压力下工作的能力。4.良好的英语听说读写能力加分5.有礼仪，模特，舞蹈，音乐等艺术团体经历，以及混过饭圈、有明星粉丝群运营经验加分；请在邮件中附上个人近照及作品该职位同时接受寒暑假实习和长期实习。你将获得：1.含金量高的实习报告2.跟着记者采访拍摄名人明星各种有趣的人物3.出席时尚活动4.体验美食美酒5.不是来打杂买水买盒饭收发快递整理拍摄样衣（尽管有时也要帮忙）6.不会困在办公室天天整理资料",本科,5人,2024-09-24 09:57,时尚传媒,广州 - 海珠区 - 敦和路,广告|传媒|文化|体育,301~1000人
内容营销实习生,100-160元/天,3个月,工作职责：1、内容运营：协助同事完成或独立完成社交媒体（公众号、海外领英等）账号运营，包括日常选题，中英文文案撰写等；2、市场研究：收集汇总并分析竞争对手、行业信息及市场数据；3、项目支持：负责策划并执行品牌传播相关活动并跟踪转化情况，制定数据报告、月报等；4、渠道运营：协助支持官网、内容平台等渠道的日常运营和内容更新；5、完成上级交代的其他工作。岗位要求：1、市场营销/广告等相关专业优先，大三至研一同学优先，每周至少到岗三天，至少实习3个月;2、英文听说读写水平优秀，有公众号运营、社交媒体运营经验经历优先，图文美化能力视为加分项；3、具备较强的人际沟通能力，以及逻辑思维能力；4、注重细节、行动力强、学习能力强。对未知领域有极强的求知欲，并有快速落地想法的激情。你将获得：1、周末双休，弹性灵活的上班时间；2、高端舒适的办公环境，薪资100-160/天，免费三餐+下午茶；3、多彩的节日party+免费健身房，大牛导师+丰富的培训课程；4、全球化业务的格局与视野，无限潜能的个人成长空间；5、轻松愉快的团队氛围，我们想要同样简单快乐，使命必达的你！,本科,1人,2024-09-05 11:12,Mobvista汇量科技,广州 - 天河区 - 猎德天盈广场东塔43-44楼,互联网|游戏|软件,1001~3000人
法务实习生,150-200元/天,3个月,工作职责：1、协助进行法律检索、法律问题研究；2、协助完成公司各类法律事务处理、法律风险规避、合同管理；3、协助公司海内外法律文件的翻译；4、协助进行合作方资质审查及合同审核；5、协助进行移动广告业务合规调研及日常审核；6、其他由法律合规部成员交办的事项。岗位要求：1、本科及以上学历在校生，法学相关专业优秀者、有律所或公司法务实习经历者优先；2、法律英语优秀，英语6级以上；3、每周实习4个工作日或以上，能稳定实习3个月以上。你将获得：1、周末双休，弹性灵活的上班时间；2、高端舒适的办公环境，薪资150-200/天，免费三餐+下午茶；3、多彩的节日party+免费健身房，大牛导师+丰富的培训课程；4、全球化业务的格局与视野，无限潜能的个人成长空间；5、轻松愉快的团队氛围，我们想要同样简单快乐，使命必达的你！,本科,1人,2024-09-05 11:12,Mobvista汇量科技,北京 - 朝阳区 - 北辰世纪中心A座10层,互联网|游戏|软件,1001~3000人
达人运营实习生,190-200元/天,3个月,工作职责：需要25及25届之后的同学，base在上海读书的优先！一周5天全勤。1、负责童装品类小红书/抖音/微信达人拓展及运营工作，建立和维护合作关系，包含商品维护、促销活动设置、数据统计与分析；2、协助达人选品，跟进合作协议签订、产品寄样、上架售卖、价格和库存修改等；3、进行达人需求和日常反馈，通过运营工具监控订单履约，数据跟踪；4、负责产品开团、直播售卖过程所遇问题的协调解决；5、对产品所在推广渠道的利润贡献负责。岗位要求：1、全日制本科及以上学历，数据分析相关专业优先，有小红书电商运营或者抖音电商运营实习经验优先；2、拥有小红书/抖音/微信达人对接经验或者母婴产品实习经验者优先；3、具备较强的执行力，能高效完成团队分配下来的任务；4、积极主动，有良好的沟通表达能力；5、有较好的对客服务意识，能及时响应客户提出的问题，对创业型公司有一定的认知。,本科,2人,2024-09-20 17:26,All Blu幼岚,上海 - 黄浦区 - 蒙自路207号宏慧盟智园1号楼6楼,快速消费品,101~300人
成都微著企业管理有限公司,100-150元/天,3个月,工作职责：1.根据客户所在行业，客户需求以及目标职位的分析，拟定一套完善的用人寻访目标公司和候选人寻访方案2.执行寻访计划，筛选和面试候选人，初步甄别候选人与目标职位的匹配度3.沟通候选人的职位意向，职业生涯发展规划4.撰写候选人的人才推荐报告，推荐候选人5.协调客户公司与候选人的面试安排，跟进面试的进展和及时反馈面试过程的问题6.提供候选人背景调查，辅助候选人的离职7.对客户与候选人的后续跟踪与反馈岗位要求：1. 统招本科或硕士学历，性别不限，专业不限2. 适应力强，稳定性好，愿意在中高级人才推荐行业长期发展3. 沟通技巧和客户服务技巧良好4. 具有强烈实现个人成就的意识5. 能积极应对挫折和压力，乐于接受挑战6. 优秀的学习能力，及逻辑辨析能力7. 自我驱动，结果导向8. 良好的团队意识，注重团队合作,本科,5人,2024-09-23 18:58,成都微著,眉山 - 彭山县 - 恒大观澜府,咨询/法律/人力资源,11~50人
视频编辑（时尚-媒体-传媒）,面议,3个月,"工作职责：本职位长期招聘，负责运营微信公众号“时尚集团生活馆”，“时尚YES”和""时广新媒""矩阵的新媒体工作。北京时尚集团旗下办有《时尚COSMO》《时尚芭莎》《时尚先生》《男人装》《罗博报告》等多本时尚大刊。本公司从未授权任何第三方机构或个人对外提供有偿的面试和工作机会，敬请留意。收集资料，协助制作拍摄角本，配合编导采访，拍摄和剪辑等。附：所有面试通知将以“时广新媒”名义的电子邮件形式发送，请注意查收邮件，有时会被运营商分类的广告或垃圾箱，敬请注意。该职位同时接受寒暑假实习和长期实岗位要求：1. 本科及以上，广播电视新闻，摄像，编导，数字媒体专业等专业优先，坚守新闻理想，时尚生活美食资讯嗅觉敏锐；2.有非线编辑，直播，摄像经验加分；3.有礼仪，模特，舞蹈，音乐等艺术团体经历，以及混过饭圈、有明星粉丝群运营经验加分； 4.能具备各种出国出境证照，如护照，港澳同行证，赴台证等。5.实习满三个月才能开实习证明，能实习超过半年者优先周一到周五上班，只需上半天班（上午或下午）。实习时长3-6个月，能实习半年以上优先录用。实习满三个月开实习证明。能实习超过半年者优先请在邮件中附上个人近照及作品你将获得：1.发表作品机会多2.含金量高的实习报告3.资深编导专业指导报选题写稿采访4.跟着记者采访名人明星各种有趣的人物5.出席时尚活动6.体验美食美酒7.不是来打杂买水买盒饭收发快递整理拍摄样衣（尽管有时也要帮忙）8.出国出境采访出差",本科,5人,2024-09-23 14:30,时尚传媒,广州 - 海珠区 - 敦和路,广告|传媒|文化|体育,301~1000人
