工作岗位,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司地址,企业领域,公司规模,年份,省份
法务实习生,125,长期,： 1 、 协助 法务 团队 合同 审核 管理工作 （ 1 ） 各类 合同 初步 审查 ， 检查 合同条款 完整性 、 合法性 及 合规性 。 （ 2 ） 协助 整理 合同 档案 ， 确保 合同 妥善 保存 查阅 。 2 、 参与 法律 文件 起草 修订 。 （ 1 ） 根据 业务 需求 ， 法务 人员 指导 下 起草 简单 法律 文件 ， 如 通知函 、 声明 。 （ 2 ） 现有 法律 文件 修订 完善 ， 提高 文件 准确性 可操作性 。 3 、 协助 处理 日常 法律事务 咨询 。 （ 1 ） 公司 内部 各 部门 提出 法律 问题 收集 整理 ， 法务 人员 指导 下 提供 初步 法律 意见 建议 。 （ 2 ） 参与 法律 问题 研究 分析 ， 公司 决策 提供 法律 支持 。 4 、 配合 法律 知识 培训 宣传 。 （ 1 ） 协助 准备 法律 知识 培训 材料 ， 如   PPT 、 案例 分析 。 （ 2 ） 参与 公司 内部 法律 知识 宣传 活动 ， 提高 员工 法律意识 。 5 、 完成 领导 交办 其他 临时性 法律 任务 。 ： 1 .   法律 专业本科 及 以上 在读 学生 ， 具有 扎实 法律 专业知识 。 2 .   熟悉 基本 法律文书 写作 合同 审查 流程 。 3 .   具备 良好 沟通 能力 团队 合作 精神 ， 能够 积极主动 地 各 部门 协作 。 4 .   认真负责 ， 注重 细节 ， 较 强 学习 能力 抗压 能力 。 5 .   熟练 使用 办公 软件 ， 如   Word 、 Excel 、 PowerPoint   。,本科,1,2024-09-30,久事智慧体育,上海省黄浦区中山南路28号久事大厦8楼BC室,互联网|游戏|软件,11~50人,2024,上海
管培生,12,6个月,： ： ① 负责 客户 接待 、 咨询 ， 客户 提供 专业 房地产 置业 咨询服务 ； ② 负责 公司 房 客源 开发 积累 ， 并 客户 建立 良好 业务 合作 关系 ； ③ 负责 线上 渠道 房产信息 维护 ， 打造 公司 及 个人 专业 品牌 ； ④ 了解 客户 需求 ， 促成 房产 （ 一手 、 二手 、 新房 、 豪宅 、 海外 、 商铺 ... ） 买卖 或 租赁 业务 ， 客户 提供 优质 购房 / 租房 体验 ； ⑤ 客户 资金 安全 提供 保障 ， 并 负责 业务 跟进 促成 买卖双方 交易 达成 ； ⑥ 协助 双方 合同 签署 、 办理 权属 转移 、 房屋 过户 手续 后续 服务 。 ： ① 统招 本科 及 以上学历 ② 善于 沟通 ， 较 强 语言表达 能力 ； ③ 亲和力 强 ， 良好 判断力 职业 操守 ； ④ 较 强 进取心 、 学习 能力 ， 勇于 挑战 自我 ， 不甘 平庸 ； ⑤ 较 强 服务 意识 ， 做事 认真 踏实 ， 为人正直 诚恳 。 ： 薪酬 福利 ： ① 新人 保障 入 职首 年 月薪 不 低于 8000 元 * 最长 12 个 月 （ 实习 期间 保障 薪资 5000 ） ～ ② 我们 鼓励 长期 执业 ， 让 优秀者 更 优秀 。 职业化 程度 越高 ， 职业 竞争力 越强 ， 相应 会 带来 更 高 业绩 更 高 提成 比例 ， 收入 回报 越高 ！ ③ 转正 后 提成 比例 范围 20% ～ 70%,本科,30,2024-09-26,德佑房产,上海省静安区沪亭北路772号,互联网|游戏|软件,3001人及以上,2024,上海
行政部实习生,70,3个月,： 1 .   协助 安排 外来人员 来访 接待 引导 ， 电话 接听 及 转接 ；                                                       2 .   协助 负责 公司 办公 环境 整体 优化 ， 整洁 有序 ， 安全 到位 ；                                                                                             3 .   协助 公司 常规 行政事务 处理 及 执行 ， 包括 办公设备 及 设施 维护 、 文件 收发 、 办公用品 管理 ；                                                                                                                                                                                 4 .   配合 完成 公司 活动 节日 福利 落地 ；                                                                                                                             5 .   完成 领导 交待 其他 。 ： 1 .   形象 好 ， 气质佳 ， 能 保证 实习 3 - 4 个 月 ， 一周 到 岗 3 - 5 天 ；                                                                                                                                                                                     2 .   热情 、 耐心 、 主动 、 优秀 服务 意识 ；                                                                                                                                                 3 .   良好 表达 沟通 能力 ；                                                                                                                                                                                                       4 .   熟练 使用 日常 办公 软件 。,大专,1,2024-09-25,金元顺安基金,上海省浦东新区花园石桥路33号,金融,101~300人,2024,上海
体育运营实习生,149,3个月,： 1 ， APP 页面 推荐 更新 2 ， 体育 相关 赛事 直播 内容 运营 （ 五大 联赛   中超 中甲中 乙   足协杯   亚冠 ） 3 ， 自制 节目 运营 上线 4 ， 赛后 点播 内容 上线 （ 拆条 / 集锦 / 夺冠 时刻 / 采访 / 全场 回看 ） 5 ， 预热 物料 准备 、 赛果 后 相关 物料 制作 6 ， 相关 内容 整合 运营 专题 制作 7 ， 重要 新闻 点 制作 ： 1 、 热爱 体育 媒体 行业 ， 体育 动态 深入 了解 ； 2 、 责任心 强 ， 较 强 抗压 能力 带领 团队 攻坚 能力 ； 3 、 可以 接受 大夜班 ， 男生 优先 ；,本科,5,2024-09-24,咪咕视讯,上海省浦东新区云桥路636号,互联网|游戏|软件,1001~3000人,2024,上海
招聘实习生,210,3个月,： 岗位职责 ： 我们 负责 全司 HR 招聘 ， 我们 希望 一起 努力 ： 1 . 沟通 需求 ： 了解 清楚 业务 需求 、 痛点 ， 讨论 清楚 人才 画像 寻访 方向 ； 2 . 寻访 ： 摸清 目标 公司 HR 团队 架构 ， 努力 目标 候选人 建立 起 联系 ， 了解 清楚 候选人 诉求 ， 候选人 初步判断 并 介绍 清楚 我们 机会 ； 3 . 跟进 流程 ： 双向 沟通 候选人 及 业务部门 ， 协调 时间 、 安排 面试 ， 跟进 面试 全 流程 ； 4 . 支持 招聘 相关 项目 数据 统计 。 ： 基本 ： 1.25 届 及 以后 本科 或 研究生 ； 2 . 良好 逻辑思维 ， 条理清晰 ， 沟通 能力 强 ， 踏实 肯干 ， 积极 上 进 ， 细心 认真 ， 责任感 ； 3 . 能够 稳定 实习 3 个 月 及 以上 ， 每周 出勤 4 天 以上   。 ： 亮点 ： 1 . 能 机会 了解 中国 不同 行业 优秀 企业 HR 体系 ， 能 机会 了解 各司 真实 HR 内容 ， 能 机会 接触 中国 优秀 一批 HR ， 了解 他们 成长 轨迹 ； 2 . 专业 、 勤奋 小伙伴 们 ， 给 严格 ， 专业 帮助 ， 保证 实习 收获 满满 。,本科,1,2024-09-24,美团,北京省朝阳区望京东路4号恒电大厦上海杨浦区上海市上海市黄兴路221号互联宝地T6栋,互联网|游戏|软件,1001~3000人,2024,北京
摄影与艺术出版分社营销岗实习生,135,3个月,： 电子 工业 出版社 摄影 艺术 出版社 分社 ，   “ 有艺 ” 艺术 图书 品牌 ， 始终 秉持 用 品质 阅读 致敬 美好生活 出版 理念 ， 涉及 游戏 动漫 、 摄影 、 设计 、 美术 及 艺术 启蒙 领域 ， 目前 已经 出版 图书 近 千种 ， 深受 广大读者 喜爱 。 岗位职责 ： 1 、 现有 新 媒体 渠道 对接 ， 整理 物料 ， 制作 推广 所 需 图文 素材 。 2 、 开拓 挖掘 新 媒体 营销 资源 ， 达成 图书 推广 合作 。 3 、 完善 图书 商品 页面 、 监控 已 上架 链接 、 数据 统计 。 4 、 重点 图书 营销 项目 ， 协助 完成 执行 协同工作 。 5 、 完成 主管 交办 其他 。 ： 学历 ： 本科 及 以上 年龄 ： 不限现 所在地 ： 北京 （ 需要 办公室 坐班 ） 熟练 应用 office 办公 软件 、 熟练 使用 PS 作图 工具 。 文字 功底 扎实 ， 具备 较强 沟通 协调 能力 。 善于 学习 思考 ， 创新 意识 强 。 ： 掌握 图书 营销策划 相关 专业知识 ， bilibili 、 网易 、 腾讯 公司 沟通 合作 机会 ， 参加 CP 漫展 、 作者 线下 签售 实体 活动 。,本科,3,2024-09-23,电子社,北京省丰台区华信大厦电子工业出版社,广告|传媒|文化|体育,301~1000人,2024,北京
华南商务合作助理,90,3个月,： 1 、 协助 完成 客户 背调 ， 提取 核心 信息 2 、 协助 完成 策划 方案 ， 参与 客户 提案 3 、 负责 监测 行业新闻 及 广告 ， 每周 更新 监测 简报 4 、 协助 完成 办公室 相关 行政 事宜 ： 1 、 态度 认真 ， 耐心 细致 ； 2 、 学习 能力 强 ， 责任心 ； 3 、 英语 良好 者 优先 考虑 ； 4 、 媒体 传播 、 新闻 、 行政 专业 者 优先 ； 5 、 本科 / 研一 、 研二 在校生 ； 6 、 每周 至少 出勤 4 天 ， 全职 最佳 ， 能 持续 实习 3 个 月 以上 。 ： 1 、 中国 最 TOP 财经 媒体 同行 2 、 亲密 接触 各 行业龙头 企业 、 4A 广告公司 、 公关 公司 3 、 每日 实习 补贴 4 、 财新 传媒 实习 证明 5 、 不定期 团队 聚餐,本科,1,2024-09-23,财新传媒,广州省越秀区先烈中路69号东山广场1901,广告|传媒|文化|体育,301~1000人,2024,广州
演播室节目实习生,149,3个月,： 1 . 具备 成熟 视频剪辑 能力 / 图片 剪辑 能力 / 视频 包装 能力 ， 擅长 使用 剪映 、 PR 、 PS 、 AE 相关 软件 ； 2 . 每周 至少 三天 能够 线下 出勤 ， 参与 演播室 节目 录制 制作 ； ： 1 . 靠 谱 踏实 责任心 ， 能够 按照 按时 按质 按量 完成 内容 产出 ； 2 . 一项 或 几项 体育 内容 一定 了解 ， 热爱 体育 相关 经历 ， 能 接受 早晚 班 倒班 同学 优先 。,本科,10,2024-09-23,咪咕视讯,上海省浦东新区云桥路636号,互联网|游戏|软件,1001~3000人,2024,上海
市场调研实习生,125,3个月,： 简历 请 发到 邮箱 ： Christine . Lu @ china . messefrankfurt . com1 .   参观 各类 贸易 性 展会   2 .   做好 常规 调研 数据 采集 、 整理 及 分析 3 .   协助 领导 推进 相关 调研 项目 进展 ： 1 .   态度端正 ， 责任心 ， 团队 协作 精神 2 .   学习 能力 强 ， 能 独立 完成 3 .   能 快速 到 岗 优先 考虑 4 .   每周 到 岗 三天 左右 ， 实习期 3 个 月 以上 该 实习 需要 广州 线下 实习 ！ 不 广州 请勿 投递 ！ ！,本科,1,2024-09-27,光亚法兰克福,广州省天河区林和西路9号耀中广场B2616,广告|传媒|文化|体育,11~50人,2024,广州
PR实习生,150,3个月,： 上市 以来 ， 凡科 通过 企业 用户   提供 多元 、 高效 、 易用 互联网 工具 ， 已 帮助 了 越来越 多 企业 有效 降低 了 运营 成本 。 随着 凡科 规模 进一步 扩大 ， 我们 期待 着 更 多 新鲜血液 加入 ！ 现 需要 招聘 PR 实习生 ， 为此 ， 我们 声明 如下 ！ ☆   弹性 打卡 ， 节假日 前 错峰 上下班 ， 享受 假期 ☆   仪式 满满的 节日 活动 ， 感受 节日 氛围 ☆   羽毛球 、 篮球 、 足球 每周 体育 活动 一起 嗨 ， 给 健康 加 满分 ☆   美味 下午茶 ， 减肥 不 可能 了 「 会 负责 」 1 、 协助 处理 各类 侵权 事件 ； 2 、 监控 品牌 信息 曝光 情况 及 论坛 、 问答 平台 、 自 媒体 网络媒体 舆情 情况 ； 3 、 正确引导 舆论 方向 ， 舆情 内容 内 、 外部 沟通 查实 以及 相应 处理 ； 4 、 协助 日常 重要 访客 接待工作 ； 5 、 完成 公司 安排 其他 。 ： 「 我们 希望 」 1 、 专业 不 限 ， 大二 及 以上 在校学生 ， 每周 至少 到 岗 2 天 ， 能 实习 3 个 月 及 以上 ， 党员 优先 ； 2 、 较 强 责任感 、 执行力 优秀 团队精神 ； 3 、 细致 认真 、 善于 沟通 ， 积极进取 ， 认真负责 ； 4 、 了解 互联网 、 新 媒体 业 特点 ， 并 熟悉 网络 信息 传播 特性 及 发展趋势 ； 5 、 国家 法律法规 一定 认识 者 优先 考虑 。,大专,1,2024-09-30,凡科,广州省海珠区凤凰创意园,互联网|游戏|软件,301~1000人,2024,广州
UI设计实习生,190,3个月,： 上市 以来 ， 凡科 通过 企业 用户 提供 多元 、 高效 、 易用 互联网 工具 ， 已 帮助 了 越来越 多 企业 有效 降低 了 运营 成本 。 随着 凡科 规模 进一步 扩大 ， 我们 期待 着 更 多 新鲜血液 加入 ！ 现 需要 UI 设计 实习生 ， 为此 ， 我们 声明 如下 ！ ☆   弹性 打卡 ， 节假日 前 错峰 上下班 ， 享受 假期 ☆   仪式 满满的 节日 活动 ， 感受 节日 氛围 ☆   羽毛球 、 篮球 、 足球 每周 体育 活动 一起 嗨 ， 给 健康 加 满分 ☆   美味 下午茶 ， 减肥 不 可能 了 「 会 负责 」 1 、 负责 凡科 旗下 产品 各端 界面设计 、 运营 设计 ； 2 、 协助 设计师 搭建 素材 、 物料 整理 ； 3 、 完成 上级 交代 相关 任务 。 ： 「 我们 希望 」 1 、 本科 及 以上学历 ， 设计 相关 专业 ， 基本功 扎实 ， 每周 至少 到 岗 4 天 ， 能 实习 三个 月 以上 ； 2 、 熟练 XD 、 PS 、 office 软件 基本操作 ； 3 、 界面设计 一定 认识 ， 了解 各 终端 设计规范 ， 交互 设计 思维 ； 4 、 执行力 强 、 细心 、 逻辑 清晰 、 良好 沟通 表达能力 ； 5 、 投递 简历 时 ， 请 务必 附上 作品集 或 作品 链接 。 「 优先 」 1 、 实习 时间 长 ； 2 、 UI 设计 实习 经验 或 在校 期间 累积 优秀 作品集 优先 。,本科,1,2024-09-30,凡科,广州省海珠区凤凰创意园,互联网|游戏|软件,301~1000人,2024,广州
用户运营助理,190,3个月,： 1 .   做好 新生 进班 交接 ， 包括 ： 信息 表 收集 、 企微 添加 学员 、 做好 标签 备注 ， 以 带班 计划 参考 ， 给 新生 安排 后续 学习 任务 ； 2 .   企微 学习 群中 ， 以 班主任 角色 做 班级 群 运营 ， 保持 群 活跃度 ， 负责 所带 班级 学员 管理 维护 ， 及时 响应 解决 学员 问题 ； 3 . 根据 后台 导出 学员 学习 记录 ， 分析 学员 学习 完成 情况 ， 进度 回访 ， 督促 学员 按 班级 计划 完成 个人 学习 内容 ； 4 . 利用 产品 群 运营 群内 资料 ， 通过 群内 分发 、 朋友圈 、 1V1 推送 ，   帮助 班主任 做 意向 客户 开发 ， 交接 给 班主任 。 5 . 梳理 并 沉淀 学员 问题 、 带班 经验 ， 形成 组织 过程 资产 。 ： 1 . 喜欢 人 沟通 ， 逻辑 清晰 ， 应变能力 强 ； 2 . 做事 认真细致 ， 耐心 、 责任心 ； 3 . 具备 一定 EXCEL 办公 能力 ； 4 . 教培 行业 用户 运营 、 班主任 、 销售 岗 经验 优先 。 请 好好看 一下 ！ ！ 北京 、 线下 实习 ！ 期待 9 月 中旬 之前 到 岗 ！ 投递 后 注意 添加 V ！ ！ ！ 不要 海投 完 事儿 就 不理 了 ！ ： 1 . 全套 标准化 运营 培训 ； 2 . 社群 运营 经验 ， 并 形成 自己 SOP ； 3 . 了解 在职 群体 ， 提前 职场 发展 概念 ； 4 . 光环 管理 类 课程 免费 学习 （ 项目 、 产品 、 软考 、 数据分析 ） 。,本科,3,2024-09-27,光环国际,北京省昌平区立水桥中东路398号中煤建设集团大厦东段3层光环国际,教育培训,101~300人,2024,北京
基金管理实习生,135,长期,： 1 . 负责 文档资料 分类 、 整理 归档 ， 保证 档案 完整性 准确性 ； 2 . 基金 管理 类 、 项目管理 类及 行政事务 辅助 类 ； 3 . 领导 安排 其他 。 ： 1 . 本科 在校生 ， 档案管理 类 专业 优先 ；   2 .. 具备 良好 学习 能力 职业 习惯 ， 具有 较强 责任心 事业心 ， 具备 良好 团队 协作 精神 ；   3 . 做事 细致 ， 积极 肯干 ， 具有 吃苦耐劳 精神 ； 4 . 实习期 3 个 月 - 6 个 月 。,本科,1,2024-09-27,合创资本,深圳省南山区深圳南山区华润置地大厦B座34楼,金融,11~50人,2024,深圳
展会邀约实习生,125,3个月,： 1 、 协助 招募 专业 观众 团体 ； 2 、 能 独立 跟进 买家 团体 ， 包括 电话 邀请 、 名单 收集 及 审核 、 现场 接待 ； 3 、 协助 完成 项目 负责人 指派 任务 或 文书 内容 ， 协助 处理 日常 。 ： 此 需要 广州 线下 实习 ！ 此 需要 广州 线下 实习 ！ 1 、 在读 大学生 ， 出勤 方式 以 办公室 坐班 为主 ； 2 、 充分 课余时间 学生 ， 每周 工作日 到 岗 4 天 优先 ； 3 、 拥有 展会 观众 招募 、 客服 、 客户 跟进 相关 经验 者 ， 优先 考虑 ； 4 、 适应能力 强 ； 具备 良好 逻辑思维 沟通 表达能力 ， 认真负责 ， 做事 细心 谨慎 ； 5 、 熟悉 Microsoft 办公 软件 ； 实习 时间 ：   即日起 - 12 月       实习 时长 3 个 月 ， 实习期 满可开 实习 证明 时间 ： 9 ： 00 - 12 ： 00         13 ： 30 - 18 ： 00     周末 双休 地点 ： 广州市 天河区 林和西 路 9 号耀中 广场 B2616,大专,4,2024-09-30,光亚法兰克福,广州省天河区林和西路9号耀中广场B2616,广告|传媒|文化|体育,11~50人,2024,广州
信息审核实习生,150,3个月,： 岗位职责 : 上市 以来 ， 凡科 通过 企业 用户 提供 多元 、 高效 、 易用 互联网 工具 ， 已 帮助 了 越来越 多 企业 有效 降低 了 运营 成本 。 随着 凡科 规模 进一步 扩大 ， 我们 期待 着 更 多 新鲜血液 加入 ！ 现 需要 招聘 信息 审核 实习生 ， 为此 ， 我们 声明 如下 ！ ☆   弹性 打卡 ， 节假日 前 错峰 上下班 ， 享受 假期 ☆   仪式 满满的 节日 活动 ， 感受 节日 氛围 ☆   羽毛球 、 篮球 、 足球 每周 体育 活动 一起 嗨 ， 给 健康 加 满分 ☆   美味 下午茶 ， 减肥 不 可能 了 「 」 网络 信息安全 当前 热门 之一 ， 网络 信息安全 第一手 信息 ， 走 政策 前线 ， 跟上 时代 步伐 。 「 会 负责 」 1 、 严格 按照 内容 审核 标准 ， 准确 迅速 处理 各类 违规 不良信息 ； 2 、 及时 反馈 审核 过程 中 发现 问题 ， 并 相关 数据 分析 总结 ； 3 、 不断 总结 审核 ， 同 相关 部门 一起 不断 优化 审核 系统 ， 产品 改进 提供 支持 ； 4 、 日常 中 恪守 职业 操守 信息安全 保密制度 。 「 说明 」 1 、 工作岗位 需要 轮班 ， 做五休 二 ， 排班 制 ； 2 、 早班 9 : 00 - 18 : 00 ， 晚班 13 : 00 - 21 : 00 ， 两头 班 8 : 00 - 12 : 00 21 : 00 - 24 : 00 （ 21 : 00 后 在家 上班时间 ） ； 3 、 大二 、 大三 学生 仍 课程 ， 可 选择 无 课程 日 或 周末 出勤 ， 出勤 时间 可 灵活 设置 。   任职 资格 : 「 我们 希望 」 1 、 专业 不 限 ， 大二 及 以上 在校学生 ， 每周 至少 到 岗 4 天 ， 能 实习 3 个 月 及 以上 ； 2 、 较 强 责任感 、 执行力 优秀 团队精神 ； 3 、 熟练 操作 Office 软件 ； 认真 、 细致 ， 能静 下心 ； 4 、 耐心 ， 能 接受 大量 重复性 ； 5 、 国家 法律法规 一定 认识 者 优先 考虑 。 ： 「 我们 希望 」 1 、 专业 不 限 ， 大二 及 以上 在校学生 ， 每周 至少 到 岗 4 天 ， 能 实习 3 个 月 及 以上 ； 2 、 较 强 责任感 、 执行力 优秀 团队精神 ； 3 、 熟练 操作 Office 软件 ； 认真 、 细致 ， 能静 下心 ； 4 、 耐心 ， 能 接受 大量 重复性 ； 5 、 国家 法律法规 一定 认识 者 优先 考虑 。,大专,1,2024-09-30,凡科,广州省海珠区工业大道北67号,互联网|游戏|软件,301~1000人,2024,广州
短视频剪辑实习生,150,2个月,： 上市 以来 ， 凡科 通过 企业 用户 提供 多元 、 高效 、 易用 互联网 工具 ， 已 帮助 了 越来越 多 企业 有效 降低 了 运营 成本 。 随着 凡科 规模 进一步 扩大 ， 我们 期待 着 更 多 新鲜血液 加入 ！ 现 需要 招聘 短 视频剪辑 实习生 ， 为此 ， 我们 声明 如下 ！ ☆   弹性 打卡 ， 节假日 前 错峰 上下班 ， 享受 假期 ☆   仪式 满满的 节日 活动 ， 感受 节日 氛围 ☆   羽毛球 、 篮球 、 足球 每周 体育 活动 一起 嗨 ， 给 健康 加 满分 ☆   美味 下午茶 ， 减肥 不 可能 了 「 会 负责 」 1 、 负责 公司 相关 推广 业务 视频剪辑 、 素材 整理 ； 2 、 通过 短 视频 引流 及 产品 推广 ； 3 、 根据 产品 特性 ， 按 产出 规定 数量 短 视频 ； 4 、 分析 所 运营 短 视频 播放 量 、 粉丝 数 、 平台 搜索 排名 数据 并 优化 。 ： 「 我们 希望 」 1 、 大三 / 四 学生 ， 每周 至少 出勤 3 天 ， 实习 2 个 月 以上 ， 视频剪辑 相关 经验 及 影视 类 、 数字 媒体 相关 专业 优先 ； 2 、 抖音 、 快手 、 B 站 、 小红书 、 视频 号 平台 重度 用户 优先 ； 3 、 良好 沟通 能力 ， 团队 协作 能力 强 ； 4 、 创造力 强 、 善于 尝试 ， 喜欢 研究 新鲜 剪辑 手法 ； 5 、 日常 拍摄 视频 爱好 优先 ， 如 vlog ， 类型 不 限 ， 相关 作品 请 简历 附上 链接 或 账号 。,大专,1,2024-09-29,凡科,广州省海珠区广州市海珠区凤凰创意园67号,互联网|游戏|软件,301~1000人,2024,广州
财务实习生,135,长期,： 1 . 根据 公司 规章制度 整理 公司 历史 会计 档案 ； 2 . 协助 整理 公司 会计凭证 ； 3 . 跟进 公司 各项 日常 费用 及 业务 付款 ； 4 . 领导 安排 其他 。 ： 1 . 本科 在校生 ， 金融 、 财会 类 专业 优先 ； 2 . 具备 良好 职业道德 职业 习惯 ， 具有 较强 责任心 事业心 ， 具备 良好 团队 协作 精神 ； 3 . 做事 细致 ， 积极 肯干 ， 具有 吃苦耐劳 精神 ；,本科,1,2024-09-27,合创资本,深圳省南山区深圳南山区华润置地大厦B座34楼,金融,11~50人,2024,深圳
